name,url,remote_testing,adaptive_irt,test_types,description,job_levels,duration,languages,key_features,source
MuleSoft Development (New),/solutions/products/product-catalog/view/mulesoft-development-new/,TRUE,FALSE,Knowledge & Skills,"Multi-choice test that measures the knowledge of MuleSoft basic concepts, APIs and web services, Mule flow and scope, connectors and deployment.",Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = 17,English (USA),Job-specific knowledge assessment,Individual Test Solutions
Multitasking Ability,/solutions/products/product-catalog/view/multitasking-ability/,TRUE,FALSE,Ability & Aptitude; Knowledge & Skills; Simulations,"The Multitasking Ability assessment is a measure of one’s ability to adeptly work on more than one task simultaneously, while maintaining efficiency and effectiveness when interrupted or switching between tasks.  This test is a face-valid, split-screen simulation that is designed to assess multitasking ability. It captures the dynamic nature of the working environment by presenting the candidate with multiple types of items in a timed format. Candidates will be required to complete problem-solving items that are presented on one side of the screen, while at the same time attending to emails that are presented within an email inbox on the other side of the screen.",Director; Entry-Level; Executive; Front Line Manager; Manager; Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = 20,English (USA),Cognitive ability assessment; Job-specific knowledge assessment; Interactive simulation,Individual Test Solutions
Networking and Implementation (New),/solutions/products/product-catalog/view/networking-and-implementation-new/,TRUE,FALSE,Knowledge & Skills,"Multi-choice test that measures the knowledge of networking devices, protocols, reference models, routing and implementation of networks.",Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = 7,English (USA),Job-specific knowledge assessment,Individual Test Solutions
Node.js (New),/solutions/products/product-catalog/view/node-js-new/,TRUE,FALSE,Knowledge & Skills,"Multi-choice test that measures the basic knowledge of Node.js such as events, streams, file system, error handling, concurrency, DB handling and express framework.",Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = 9,English (USA),Job-specific knowledge assessment,Individual Test Solutions
Nursing (New),/solutions/products/product-catalog/view/nursing-new/,TRUE,FALSE,Knowledge & Skills,Multi-choice test that measures the knowledge of carrying out various nursing tasks.,Graduate; Manager; Mid-Professional; Professional Individual Contributor; Supervisor,Approximate Completion Time in minutes = 11,English (USA),Job-specific knowledge assessment,Individual Test Solutions
Occupational Personality Questionnaire OPQ32r,/solutions/products/product-catalog/view/occupational-personality-questionnaire-opq32r/,TRUE,FALSE,Personality & Behavior,"The SHL Occupational Personality Questionnaire, the OPQ32, is one of the most widely used and respected measures of workplace behavioural style in the world. It sets a high standard of measurement excellence, providing HR professionals and business managers with relevant and accurate information to make fast and well-informed people decisions. The OPQ32 provides a clear framework for understanding the impact of personality on job performance. It is internationally recognised for its accuracy of assessment. Over 90 independent validation studies have been conducted on the OPQ over a period of 25 years, across 20 countries and 40 industries, providing concrete evidence of its power to predict performance in the workplace.",Professional Individual Contributor; Supervisor; Mid-Professional; Front Line Manager; General Population; Graduate; Manager; Director; Executive,"Approximate Completion Time in minutes = Untimed, approx. 25",English International; French (Canada); Portuguese; Chinese Simplified; Chinese Traditional; French (Belgium); French; Polish; Slovak; Czech; Danish; Flemish; Dutch; Estonian; Finnish; German; Greek; Hungarian; Icelandic; Indonesian; Italian; Japanese; Korean; Latvian; Lithuanian; Norwegian; English (USA); Arabic; Portuguese (Brazil); Spanish; Latin American Spanish; Romanian; Russian; Serbian; Swedish; Thai; Turkish; Malay; Vietnamese,Personality assessment,Individual Test Solutions
Operations Management (New),/solutions/products/product-catalog/view/operations-management-new/,TRUE,FALSE,Knowledge & Skills,"Multi-choice test that measures the knowledge of planning, product design and development, quality management and supply chain management.",Manager; Mid-Professional; Professional Individual Contributor; Supervisor,Approximate Completion Time in minutes = 7,English (USA),Job-specific knowledge assessment,Individual Test Solutions
OPQ Candidate Plus Report,/solutions/products/product-catalog/view/opq-candidate-plus-report/,TRUE,FALSE,Personality & Behavior,A brief narrative OPQ (Occupational Personality Questionnaire) report designed to be given to the individual who completed the OPQ.,Director; Executive; Front Line Manager; General Population; Graduate; Manager; Mid-Professional; Professional Individual Contributor; Supervisor,,Finnish; English International,Personality assessment,Individual Test Solutions
OPQ Candidate Report 2.0,/solutions/products/product-catalog/view/opq-candidate-report-2-0/,TRUE,FALSE,Personality & Behavior,A brief narrative OPQ (Occupational Personality Questionnaire) report structure around 3 OPQ profile sections which can be given to candidates to keep after a feedback session,General,,English,Personality assessment,Individual Test Solutions
OPQ Emotional Intelligence Report,/solutions/products/product-catalog/view/opq-emotional-intelligence-report/,TRUE,FALSE,Personality & Behavior,This OPQ (Occupational Personality Questionnaire) report explores how a person manages feelings and relationships with other people.  It is intended for use in a development setting.,Director; Executive; Front Line Manager; General Population; Graduate; Manager; Mid-Professional; Professional Individual Contributor; Supervisor,,Portuguese (Brazil); Danish; Dutch; Finnish; French (Canada); French; Latin American Spanish; Portuguese; Swedish; English International; English (USA),Personality assessment,Individual Test Solutions
OPQ Leadership Report,/solutions/products/product-catalog/view/opq-leadership-report/,TRUE,FALSE,Personality & Behavior,"This OPQ (Occupational Personality Questionnaire) report provides a detailed analysis of an individual's leadership potential.  It is based on SHL's leading edge Leadership Model, providing a competency based approach to leadership.",Director; Executive; Manager; Mid-Professional; Professional Individual Contributor,,Dutch; English International; English (USA); Romanian; Portuguese; French; German; Swedish; Chinese Simplified; Portuguese (Brazil); Japanese; Polish; Russian; Latin American Spanish,Personality assessment,Individual Test Solutions
OPQ Manager Plus Report,/solutions/products/product-catalog/view/opq-manager-plus-report/,TRUE,FALSE,Personality & Behavior,"This concise OPQ (Occupational Personality Questionnaire) report is designed for use with and by managers.  It uses clear succinct bullets and tables for ease of interpretation.  It provide simple comments on each of the personality traits.Please note this report is currently being updated on Talent Central as part of a reporting refresh project, and there may be visual differences when comparing Talent Central reports to ones generated on other assessment platforms. Differences are regarding the layout and display of the reports only and do not affect the underlying scoring. When viewing sample reports, please ensure you select the appropriate language and platform example.Where a sample report has no platform indicated, it is available on both the Talent Central and SODA platforms.",Director; Entry-Level; Executive; Front Line Manager; Manager; Mid-Professional; Professional Individual Contributor,,Romanian; Czech; Serbian; Portuguese (Brazil); Spanish; Chinese Traditional; Danish; Dutch; Finnish; French (Canada); French; German; Greek; Hungarian; Icelandic; Indonesian; Italian; Japanese; Korean; Latin American Spanish; Norwegian; Polish; Portuguese; Russian; Chinese Simplified; Swedish; Thai; Turkish; English International; English (USA),Personality assessment,Individual Test Solutions
OPQ Manager Plus Report 2.0,/solutions/products/product-catalog/view/opq-manager-plus-report-2-0/,TRUE,FALSE,Personality & Behavior,This concise OPQ (Occupational Personality Questionnaire) report is designed for use with and by managers. It uses clear succinct bullets and tables for ease of interpretation. It provides simple comments on each of the personality traits.,Supervisor; Executive; Front Line Manager; General Population; Graduate; Manager; Mid-Professional; Professional Individual Contributor; Director; Entry-Level,,English,Personality assessment,Individual Test Solutions
OPQ Maximising your Learning Report,/solutions/products/product-catalog/view/opq-maximising-your-learning-report/,TRUE,FALSE,Personality & Behavior,This OPQ (Occupational Personality Questionnaire) report is designed to help people get the most from their development.  It summarises the preferred approach to learning across four dimensions.,Executive; Front Line Manager; General Population; Graduate; Manager; Mid-Professional; Professional Individual Contributor; Supervisor; Director,,Danish; Dutch; Portuguese; Swedish; English International,Personality assessment,Individual Test Solutions
OPQ MQ Sales Report,/solutions/products/product-catalog/view/opq-mq-sales-report/,TRUE,FALSE,Personality & Behavior,"This OPQ (Occupational Personality Questionnaire) report provides a graphical and narrative summary of an individual's natural style that is critical to sales success. It can also, optionally, use input from the SHL Motivation Questionnaire (MQ) to add information about the sales motivators and drives of an individual. 
Note: updated versions of Turkish, Hungarian and Indonesian Sales Report were launched on 01 July 2013.Please note this report is currently being updated on Talent Central as part of a reporting refresh project, and there may be visual differences when comparing Talent Central reports to ones generated on other assessment platforms. Differences are regarding the layout and display of the reports only and do not affect the underlying scoring. When viewing sample reports, please ensure you select the appropriate language and platform example.Where a sample report has no platform indicated, it is available on both the Talent Central and SODA platforms.",Director; Executive; Front Line Manager; General Population; Graduate; Manager; Mid-Professional; Professional Individual Contributor; Supervisor,,Portuguese (Brazil); Spanish; Danish; Dutch; Finnish; French (Canada); French; German; Greek; Hungarian; Icelandic; Indonesian; Italian; Japanese; Korean; Latin American Spanish; Norwegian; Polish; Russian; Chinese Simplified; Swedish; Thai; Turkish; English International; English (USA); Chinese Traditional; Portuguese; Romanian,Personality assessment,Individual Test Solutions
OPQ Premium Plus Report,/solutions/products/product-catalog/view/opq-premium-plus-report/,TRUE,FALSE,Personality & Behavior,"This OPQ (Occupational Personality Questionnaire) report contains a selection of reports including OPQ profile, user report, manager plus report, candidate plus report, universal competency report, team impact selection report.",Supervisor; Front Line Manager; General Population; Graduate; Manager; Mid-Professional; Professional Individual Contributor; Director; Executive,,English International,Personality assessment,Individual Test Solutions
OPQ Premium Plus Report 2.0,/solutions/products/product-catalog/view/opq-premium-plus-report-2-0/,TRUE,FALSE,Personality & Behavior,"This OPQ (Occupational Personality Questionnaire) report contains a selection of reports including OPQ profile, user report, manager plus report, candidate plus report, universal competency report, team impact selection report.",Manager; Graduate; Mid-Professional; Professional Individual Contributor; Director; General Population; Entry-Level; Executive; Front Line Manager; Supervisor,,English,Personality assessment,Individual Test Solutions
OPQ Profile Report,/solutions/products/product-catalog/view/opq-profile-report/,TRUE,FALSE,Personality & Behavior,"This is a graphical profile charts presenting results across the 32 OPQ scales. It is designed to be interpreted by OPQ trained users only.Please note this report is currently being updated on Talent Central as part of a reporting refresh project, and there may be visual differences when comparing Talent Central reports to ones generated on other assessment platforms. Differences are regarding the layout and display of the reports only and do not affect the underlying scoring. When viewing sample reports, please ensure you select the appropriate language and platform example.Where a sample report has no platform indicated, it is available on both the Talent Central and SODA platforms.",Director; Executive; Front Line Manager; General Population; Graduate; Manager; Mid-Professional; Professional Individual Contributor; Supervisor,,Arabic; Romanian; Slovak; Serbian; Chinese Simplified; Chinese Traditional; Danish; Flemish; Dutch; English International; Finnish; French (Belgium); French (Canada); French; German; Greek; Hungarian; Icelandic; Indonesian; Italian; Japanese; Korean; Norwegian; Polish; Portuguese (Brazil); Portuguese; Russian; Latin American Spanish; Spanish; Swedish; Thai; Turkish; English (USA); Czech; Estonian; Latvian; Lithuanian,Personality assessment,Individual Test Solutions
OPQ Team Impact Group Development Report,/solutions/products/product-catalog/view/opq-team-impact-group-development-report/,TRUE,FALSE,Personality & Behavior,"These reports are based on the SHL Team Impact Model, which is focused on actual team processes.  They are supported by clear and easy to understand graphics which do not require OPQ training.“IMPORTANT! Please note that for a sample report contact Managed Services"".",Executive; Director; Front Line Manager; General Population; Graduate; Manager; Mid-Professional; Professional Individual Contributor; Supervisor,,Danish; English International; Finnish; Dutch; Norwegian; Swedish; English (USA),Personality assessment,Individual Test Solutions
OPQ Team Impact Individual Development Report,/solutions/products/product-catalog/view/opq-team-impact-individual-development-report/,TRUE,FALSE,Personality & Behavior,"These reports are based on the SHL Team Impact Model, which is focused on actual team processes.  They are supported by clear and easy to understand graphics which do not require OPQ training.",Director; Executive; Front Line Manager; General Population; Graduate; Manager; Mid-Professional; Professional Individual Contributor; Supervisor,,English International; Danish; Dutch; Finnish; Latin American Spanish; Norwegian; Swedish; English (USA),Personality assessment,Individual Test Solutions
OPQ Team Impact Selection Report,/solutions/products/product-catalog/view/opq-team-impact-selection-report/,TRUE,FALSE,Personality & Behavior,"These reports are based on the SHL Team Impact Model, which is focused on actual team processes.  They are supported by clear and easy to understand graphics which do not require OPQ training.",Director; Executive; Front Line Manager; General Population; Graduate; Manager; Mid-Professional; Professional Individual Contributor; Supervisor,,Danish; Dutch; Finnish; Latin American Spanish; Norwegian; Swedish; English International; English (USA),Personality assessment,Individual Test Solutions
OPQ Team Types & Leadership Styles Profile,/solutions/products/product-catalog/view/opq-team-types-and-leadership-styles-profile/,TRUE,FALSE,Personality & Behavior,This OPQ (Occupational Personality Questionnaire) report is based on Belbin's team types and Bass's leadership and reporting styles.  Belbins team types: individual preferred role when working in ateam.  Bass's leadership and reporting styles: individuals preferred leadership styles and likely style of behaviour as a direct report.,Director; Executive; Front Line Manager; General Population; Graduate; Manager; Mid-Professional; Professional Individual Contributor; Supervisor,,Flemish; French (Belgium); Portuguese (Brazil); Danish; French (Canada); French; German; Italian; Latin American Spanish; Norwegian; Portuguese; Swedish; Turkish; English International; English (USA),Personality assessment,Individual Test Solutions
OPQ Team Types and Leadership Styles Report,/solutions/products/product-catalog/view/opq-team-types-and-leadership-styles-report/,TRUE,FALSE,Personality & Behavior,This OPQ (Occupational Personality Questionnaire) report is based on Belbin's team types and Bass's leadership and reporting styles.  Belbins team types: individual preferred role when working in ateam.  Bass's leadership and reporting styles: individuals preferred leadership styles and likely style of behaviour as a direct report.,Director; Executive; Front Line Manager; General Population; Graduate; Manager; Mid-Professional; Professional Individual Contributor; Supervisor,,Flemish; French (Belgium); Portuguese (Brazil); Danish; Dutch; Finnish; French (Canada); French; Italian; Latin American Spanish; Norwegian; Portuguese; English International; English (USA),Personality assessment,Individual Test Solutions
OPQ UCF Development Action Planner Report 1.0,/solutions/products/product-catalog/view/opq-ucf-development-action-planner-report/,TRUE,FALSE,Personality & Behavior,"This OPQ (Occupational Personality Questionnaire) report provides clear and relevant information about an individual's strengths and areas for development, for use in staff development and on-boarding situations.Please note this report is currently being updated on Talent Central as part of a reporting refresh project, and there may be visual differences when comparing Talent Central reports to ones generated on other assessment platforms. Differences are regarding the layout and display of the reports only and do not affect the underlying scoring. When viewing sample reports, please ensure you select the appropriate language and platform example.Where a sample report has no platform indicated, it is available on both the Talent Central and SODA platforms.",Director; Executive; Front Line Manager; General Population; Graduate; Manager; Mid-Professional; Professional Individual Contributor; Supervisor,,English International; English (USA); Dutch; French; German; Norwegian; Swedish; Japanese; Portuguese; Chinese Simplified; Italian; Danish; Finnish; Latin American Spanish; Portuguese (Brazil),Personality assessment,Individual Test Solutions
OPQ UCF Development Action Planner Report 2.0,/solutions/products/product-catalog/view/opq-ucf-development-action-planner-report-2-0/,TRUE,FALSE,Personality & Behavior,"This OPQ (Occupational Personality Questionnaire) report provides clear and relevant information about an individual's strengths and areas for development, for use in staff development and on-boarding situations.",Director; Executive; Front Line Manager; Manager; Graduate; General Population; Professional Individual Contributor; Supervisor; Mid-Professional,,English,Personality assessment,Individual Test Solutions
OPQ Universal Competency Report 1.0,/solutions/products/product-catalog/view/opq-universal-competency-report/,TRUE,FALSE,Personality & Behavior,"This OPQ (Occupational Personality Questionnaire) report is based on the Universal Competency framework.  It graphically outlines how an individual's typical way of behaving is likely to impact on competencies.  It provides a graphical scale for each competency and summarises aspects of personality which contribute (positively or negatively) to each competency.Please note this report is currently being updated on Talent Central as part of a reporting refresh project, and there may be visual differences when comparing Talent Central reports to ones generated on other assessment platforms. Differences are regarding the layout and display of the reports only and do not affect the underlying scoring. When viewing sample reports, please ensure you select the appropriate language and platform example.Where a sample report has no platform indicated, it is available on both the Talent Central and SODA platforms.",Graduate; Director; Executive; Front Line Manager; General Population; Supervisor; Manager; Mid-Professional; Professional Individual Contributor,,Czech; Romanian; Slovak; Serbian; Portuguese (Brazil); Spanish; Chinese Traditional; Danish; Dutch; Finnish; French (Canada); French; German; Greek; Hungarian; Icelandic; Indonesian; Italian; Japanese; Korean; Latin American Spanish; Norwegian; Polish; Portuguese; Russian; Chinese Simplified; Swedish; Thai; Turkish; English International; English (USA),Personality assessment,Individual Test Solutions
OPQ Universal Competency Report 2.0,/solutions/products/product-catalog/view/opq-universal-competency-report-2-0/,TRUE,FALSE,Personality & Behavior,This OPQ (Occupational Personality Questionnaire) report is based on the Universal Competency framework.  It graphically outlines how an individual's typical way of behaving is likely to impact on competencies.  It provides a graphical scale for each competency and summarises aspects of personality which contribute (positively or negatively) to each competency.,Graduate; Manager; Mid-Professional; Professional Individual Contributor; Supervisor; Director; Executive; Front Line Manager; General Population,,English,Personality assessment,Individual Test Solutions
OPQ User and Managers Report,/solutions/products/product-catalog/view/opq-user-and-managers-report/,TRUE,FALSE,Personality & Behavior,"This OPQ (Occupational Personality Questionnaire) report consists of two reports. The User Report includes a Profile Chart and narrative text, focusing on an individuals likely way of behaving at work.  The Manager's Report describes the individual's personal style in narrative text that can be given directly to a line manager.
These reports can be used as an interpretation aid when giving feedback, writing reports, or interpreting OPQ information.",Director; Executive; Front Line Manager; General Population; Graduate; Manager; Mid-Professional; Professional Individual Contributor; Supervisor,,Flemish; French (Belgium); Danish; Finnish; French; Italian; Norwegian; Portuguese; English International,Personality assessment,Individual Test Solutions
OPQ User Report,/solutions/products/product-catalog/view/opq-user-report/,TRUE,FALSE,Personality & Behavior; Simulations,"This OPQ (Occupational Personality Questionnaire) report includes a Profile Chart and narrative text, focusing on an individuals likely way of behaving at work.  It can be used as an interpretation aid when giving feedback, writing reports, or interpreting OPQ information.",Director; Executive; Front Line Manager; General Population; Graduate; Manager; Mid-Professional; Professional Individual Contributor; Supervisor,,Flemish; French (Belgium); Spanish; Danish; Dutch; Finnish; French; German; Italian; Norwegian; Portuguese; English International; English (USA); Portuguese (Brazil); French (Canada); Latin American Spanish,Personality assessment; Interactive simulation,Individual Test Solutions
Oracle DBA (Advanced Level) (New),/solutions/products/product-catalog/view/oracle-dba-advanced-level-new/,TRUE,FALSE,Knowledge & Skills,"Multi-choice test that measures the knowledge of Oracle DB architecture, backup and recovery, MySQL administration and advanced topics such as network configuration and data warehouse management.",Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = 12,English (USA),Job-specific knowledge assessment,Individual Test Solutions
Oracle DBA (Entry Level) (New),/solutions/products/product-catalog/view/oracle-dba-entry-level-new/,TRUE,FALSE,Knowledge & Skills,"Multi-choice test that measures the knowledge of Oracle database architecture, data management, backup and recovery, and MySQL administration.",Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = 12,English (USA),Job-specific knowledge assessment,Individual Test Solutions
Oracle PL/SQL (New),/solutions/products/product-catalog/view/oracle-plsql-new/,TRUE,FALSE,Knowledge & Skills,"Multi-choice test that measures the knowledge of SQL queries, relational database concepts and specific Oracle PL/SQL features.",Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = 11,English (USA),Job-specific knowledge assessment,Individual Test Solutions
Oracle WebLogic Server (New),/solutions/products/product-catalog/view/oracle-weblogic-server-new/,TRUE,FALSE,Knowledge & Skills,"Multi-choice test that measures the knowledge of the concepts of WebLogic such as server installation, administration, node, logs manager, security and deployment.",Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = 7,English (USA),Job-specific knowledge assessment,Individual Test Solutions
Organic Chemistry (New),/solutions/products/product-catalog/view/organic-chemistry-new/,TRUE,FALSE,Knowledge & Skills,Multi-choice test that measures the knowledge of the basic concepts in organic chemistry.,Graduate; Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = 10,English (USA),Job-specific knowledge assessment,Individual Test Solutions
Paint Technology (New),/solutions/products/product-catalog/view/paint-technology-new/,TRUE,FALSE,Knowledge & Skills,"Multi-choice test that measures the knowledge of paint raw materials and precursors, manufacture of different types of coatings, surface treatment and coating applications.",Professional Individual Contributor; Graduate; Mid-Professional,Approximate Completion Time in minutes = 7,English (USA),Job-specific knowledge assessment,Individual Test Solutions
Pediatrics (New),/solutions/products/product-catalog/view/pediatrics-new/,TRUE,FALSE,Knowledge & Skills,"Multi-choice test that measures the basic knowledge of pediatric diseases, their symptoms and the medicines administered to cure or prevent them.",Graduate; Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = 5,English (USA),Job-specific knowledge assessment,Individual Test Solutions
Pega Development (New),/solutions/products/product-catalog/view/pega-development-new/,TRUE,FALSE,Knowledge & Skills,"Multi-choice test that measures the knowledge of Pega architecture, user interface, rule and user management, case management, integration with external systems, frameworks, applications and performance.",Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = 17,English (USA),Job-specific knowledge assessment,Individual Test Solutions
Perl (New),/solutions/products/product-catalog/view/perl-new/,TRUE,FALSE,Knowledge & Skills,"Multi-choice test that measures the knowledge of Perl scripting used for text manipulation, web development, system administration, etc.",Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = 9,English (USA),Job-specific knowledge assessment,Individual Test Solutions
Petrochemical Engineering (New),/solutions/products/product-catalog/view/petrochemical-engineering-new/,TRUE,FALSE,Knowledge & Skills,"Multi-choice test that measures the knowledge of fluid and thermal principles of petrochemical engineering, chemical processes, petroleum composition and processing.",Graduate; Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = 7,English (USA),Job-specific knowledge assessment,Individual Test Solutions
Petroleum Engineering (New),/solutions/products/product-catalog/view/petroleum-engineering-new/,TRUE,FALSE,Knowledge & Skills,"Multi-choice test that measures the knowledge of petroleum engineering, drilling and production operations and offshore petroleum production.",Graduate; Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = 10,English (USA),Job-specific knowledge assessment,Individual Test Solutions
Pharmaceutical Analysis (New),/solutions/products/product-catalog/view/pharmaceutical-analysis-new/,TRUE,FALSE,Knowledge & Skills,"Multi-choice test that measures the knowledge of laboratory analytical techniques such as chromatography, titration, spectroscopy, and spectrophotometry.",Graduate; Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = 12,English (USA),Job-specific knowledge assessment,Individual Test Solutions
Pharmaceutical Chemistry (New),/solutions/products/product-catalog/view/pharmaceutical-chemistry-new/,TRUE,FALSE,Knowledge & Skills,"Multi-choice test that measures the knowledge of physical chemistry, organic chemistry, inorganic chemistry, biochemistry and medicinal chemistry.",Graduate; Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = 17,English (USA),Job-specific knowledge assessment,Individual Test Solutions
Pharmaceutical Science (New),/solutions/products/product-catalog/view/pharmaceutical-science-new/,TRUE,FALSE,Knowledge & Skills,"Multi-choice test that measures the knowledge of drug manufacture, drug delivery, drug action, and pharmaceutical analysis techniques.",Graduate; Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = 7,English (USA),Job-specific knowledge assessment,Individual Test Solutions
Pharmaceutics (New),/solutions/products/product-catalog/view/pharmaceutics-new/,TRUE,FALSE,Knowledge & Skills,"Multi-choice test that measures the knowledge of pharmaceutical engineering and technology for drug manufacture, biopharmaceutics, modern pharmaceutics and dispensing pharmacy.",Graduate; Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = 12,English (USA),Job-specific knowledge assessment,Individual Test Solutions
Pharmacology (New),/solutions/products/product-catalog/view/pharmacology-new/,TRUE,FALSE,Knowledge & Skills,"Multi-choice test that measures the knowledge of pharmacological drugs classification, chemotherapy, inflammatory disorders, drug action on nervous system, endocrine pharmacology, drug action on circulatory system and GI tract.",Graduate; Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = 12,English (USA),Job-specific knowledge assessment,Individual Test Solutions
PHP (New),/solutions/products/product-catalog/view/php-new/,TRUE,FALSE,Knowledge & Skills,"Multi-choice test that measures the knowledge of OOPs & programming constructs, web & database handling and advanced PHP.",Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = 8,English (USA),Job-specific knowledge assessment,Individual Test Solutions
PJM Development Report,/solutions/products/product-catalog/view/pjm-development-report/,TRUE,FALSE,Competencies; Ability & Aptitude; Personality & Behavior,"The Person-Job Match Report is unique in that it
matches the performance potential of the
individual to the job’s specific competencies. This
provides you with a comprehensive and insightful
understanding of person-job fit.  The PJM Development report is written to support competency focused development of an individual.

In a development context, this report can be used: To identify specific areas of strength and weakness that may impact on the individual?s 
performance.As the basis for identifying areas for development and development planning. For discussing fit to future roles and career planning.",Mid-Professional; Graduate; Manager,,Italian; English International; English (USA); French (Canada); Portuguese (Brazil); Latin American Spanish,Competency-based assessment; Cognitive ability assessment; Personality assessment,Individual Test Solutions
PJM Selection Report,/solutions/products/product-catalog/view/pjm-selection-report/,TRUE,FALSE,Ability & Aptitude; Competencies; Personality & Behavior,"The PJM Report provides a clear indication of each candidate's ""degree of fit"" to a role.  Provides targeted assessment results that match individuals with jobs . Links the essential/desirable competencies for a specific job with an individual’s competency potential. Provides an overall Match (or fit) Score useful in ranking/sorting candidates for selection 
and/or development (e.g. Talent Audit).  It provides a highly visual profile of a candidate's strengths and limitations against identified required competencies. Includes a summary table that enables prioritisation of action planning for development of critical competencies for an individual (by tabling Competency Potential against Job Importance for the role). It includes highly descriptive statements about a candidate's strengths and development  needs/limitations. 
The extended report versions include proposed competency-based interview questions 
to enable probing of specific situations in which the candidate might have 
demonstrated critical job behaviours. 
  
The PJM Report is designed for use by line managers and HR professionals in selection and 
development situations. It is valuable for identifying an individual's overall fit as well as likely areas of 
strength and weakness relative to their behaviour at work. 
 
In a selection context, this information can be used: For making interviewers aware of the areas that may need further probing. As a basis for suggesting and creating relevant interview questions. For identifying the relative strengths and weaknesses of shortlisted candidates.",Mid-Professional; Manager,,Italian; English International; English (USA); Portuguese (Brazil); Latin American Spanish; French (Canada),Cognitive ability assessment; Competency-based assessment; Personality assessment,Individual Test Solutions
Polymer Engineering (New),/solutions/products/product-catalog/view/polymer-engineering-new/,TRUE,FALSE,Knowledge & Skills,"Multi-choice test that measures the knowledge of characterization of polymers, processing, synthesis, testing and applications in daily life.",Professional Individual Contributor; Graduate; Mid-Professional,Approximate Completion Time in minutes = 8,English (USA),Job-specific knowledge assessment,Individual Test Solutions
Power Electronics and Drives (New),/solutions/products/product-catalog/view/power-electronics-and-drives-new/,TRUE,FALSE,Knowledge & Skills,"Multi-choice test that measures the knowledge of power semiconductor devices, power electronic converters, drives and control systems.",Mid-Professional; Professional Individual Contributor; Graduate,Approximate Completion Time in minutes = 15,English (USA),Job-specific knowledge assessment,Individual Test Solutions
Power System Engineering (New),/solutions/products/product-catalog/view/power-system-engineering-new/,TRUE,FALSE,Knowledge & Skills,"Multi-choice test that measures the knowledge of power generation and transmission, electrical machines, power systems and drives, control and instrumentation, fluid mechanics and machines.",Graduate; Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = 12,English (USA),Job-specific knowledge assessment,Individual Test Solutions
Prism (New),/solutions/products/product-catalog/view/prism-new/,TRUE,FALSE,Knowledge & Skills,"Multi-choice test that measures the knowledge of modules, patterns and other basic concepts of using the Prism library.",Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = 4,English (USA),Job-specific knowledge assessment,Individual Test Solutions
Production and Industrial Engineering (New),/solutions/products/product-catalog/view/production-and-industrial-engineering-new/,TRUE,FALSE,Knowledge & Skills,"Multi-choice test that measures the knowledge of production technology, quality management, and design and planning of manufacturing systems.",Graduate; Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = 13,English (USA),Job-specific knowledge assessment,Individual Test Solutions
Production Engineering (New),/solutions/products/product-catalog/view/production-engineering-new/,TRUE,FALSE,Knowledge & Skills,"Multi-choice test that measures the knowledge of production technology and analysis, metal cutting, tool design, material science and CIM.",Graduate; Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = 10,English (USA),Job-specific knowledge assessment,Individual Test Solutions
Programming Concepts,/solutions/products/product-catalog/view/programming-concepts/,TRUE,TRUE,Knowledge & Skills,"The Programming Concepts test measures knowledge of the core aspects of computer science programming that is valid across programming languages. Designed for all programmers, this test covers the following topics:  Algorithms, Complex Data Types, Data Access, Productivity and Quality, Program Flow, Program Structure, Programming Paradigms, User Interface, Variables, Data Types, and Operators.",Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = 25,English (USA),Job-specific knowledge assessment,Individual Test Solutions
